cust_id-1,CUS_SEX_ID,CUS_STATE,CUS_RU_SINCE_DT,pais
178938,N,N/A,2019-10-05 20:15:06,N/A
62817,N,RIO GRANDE DO SUL,2015-03-24 17:55:35,BRASIL
218480,N,N/A,2020-09-02 19:47:26,N/A
208176,N,ACRE,2020-07-03 21:41:20,BRASIL
165594,M,N/A,2019-05-13 10:38:59,N/A
67167,N,SÃO PAULO,2015-06-29 20:34:15,BRASIL
89968,F,N/A,2016-08-08 19:40:02,N/A
226486,N,N/A,2020-11-23 10:16:25,N/A
100385,N,N/A,2017-01-23 18:20:08,N/A
251985,N,N/A,2021-08-18 10:17:49,N/A
237752,N,N/A,2021-03-20 10:41:13,N/A
62618,N,BAHIA,2015-03-20 12:43:54,BRASIL
25693,N,N/A,2011-08-25 08:34:41,N/A
54773,N,SÃO PAULO,2014-09-10 20:42:35,BRASIL
252839,N,N/A,2021-08-28 18:58:33,N/A
72464,N,PERNAMBUCO,2015-10-16 10:59:51,BRASIL
25844,N,PARANÁ,2011-09-01 09:52:40,BRASIL
247571,N,N/A,2021-06-28 18:47:38,N/A
112122,N,PARANÁ,2017-07-13 08:48:45,BRASIL
117825,N,N/A,2017-09-23 15:21:48,N/A
133622,M,GOIÁS,2018-04-01 17:54:41,BRASIL
136683,M,N/A,2018-05-10 07:30:58,N/A
178423,N,N/A,2019-09-30 13:24:18,N/A
252661,N,N/A,2021-08-26 11:14:48,N/A
89135,N,SERGIPE,2016-07-26 19:11:56,BRASIL
90795,N,SÃO PAULO,2016-08-22 19:18:04,BRASIL
119377,N,SÃO PAULO,2017-10-13 08:13:30,BRASIL
215103,N,N/A,2020-08-04 17:43:30,N/A
91129,N,SÃO PAULO,2016-08-27 12:22:27,BRASIL
215602,N,SÃO PAULO,2020-08-07 23:04:02,BRASIL
201501,N,N/A,2020-05-24 21:10:48,N/A
45313,N,BAHIA,2013-11-11 19:15:16,BRASIL
209696,N,RIO GRANDE DO SUL,2020-07-07 10:57:09,BRASIL
218758,N,N/A,2020-09-05 13:54:34,N/A
59612,N,N/A,2015-01-06 21:36:52,N/A
36830,N,N/A,2012-12-24 11:18:26,N/A
127034,M,N/A,2018-01-12 21:53:12,N/A
136267,N,ALAGOAS,2018-05-04 20:48:28,BRASIL
30747,N,SÃO PAULO,2012-04-24 09:30:00,BRASIL
218233,N,N/A,2020-08-31 16:56:24,N/A
165239,F,N/A,2019-05-08 17:51:47,N/A
26123,N,BAHIA,2011-09-14 20:48:40,BRASIL
180961,N,SÃO PAULO,2019-10-29 09:43:12,BRASIL
187989,N,RIO DE JANEIRO,2020-01-08 03:11:03,BRASIL
227250,N,N/A,2020-11-29 16:37:43,N/A
179034,N,N/A,2019-10-07 08:59:03,N/A
26274,N,RIO GRANDE DO SUL,2011-09-21 11:16:49,BRASIL
208436,N,N/A,2020-07-04 12:22:00,N/A
152016,N,N/A,2018-11-23 08:42:05,N/A
9017,N,PARÁ,2007-10-23 20:05:40,BRASIL
98029,N,MARANHÃO,2016-12-13 11:13:51,BRASIL
36307,N,N/A,2012-12-03 10:25:57,N/A
90196,N,MINAS GERAIS,2016-08-12 12:02:36,BRASIL
223472,N,N/A,2020-10-21 19:48:38,N/A
189223,M,RIO DE JANEIRO,2020-01-20 20:53:03,BRASIL
173589,M,MINAS GERAIS,2019-08-09 13:53:46,BRASIL
90891,N,RIO DE JANEIRO,2016-08-23 22:12:11,BRASIL
108782,N,N/A,2017-05-30 17:12:28,N/A
180460,N,N/A,2019-10-23 12:12:29,N/A
247624,N,BAHIA,2021-06-29 12:08:51,BRASIL
199684,N,N/A,2020-05-12 07:40:24,N/A
174062,N,SÃO PAULO,2019-08-14 16:51:47,BRASIL
37521,N,MINAS GERAIS,2013-01-24 17:08:44,BRASIL
237262,N,N/A,2021-03-15 18:18:16,N/A
126094,N,RIO DE JANEIRO,2018-01-02 23:40:31,BRASIL
22671,N,RIO GRANDE DO SUL,2011-03-11 11:38:07,BRASIL
246974,N,SÃO PAULO,2021-06-21 21:01:19,BRASIL
89808,N,N/A,2016-08-06 06:35:58,N/A
144502,N,PARANÁ,2018-08-19 19:41:19,BRASIL
244990,M,SÃO PAULO,2021-05-31 16:26:57,BRASIL
118088,N,N/A,2017-09-26 17:46:54,N/A
187633,N,N/A,2020-01-04 10:37:27,N/A
15483,N,GOIÁS,2009-09-15 14:13:58,BRASIL
127123,N,MATO GROSSO DO SUL,2018-01-13 20:10:30,BRASIL
179187,M,SANTA CATARINA,2019-10-08 15:42:11,BRASIL
181171,F,RIO DE JANEIRO,2019-10-31 11:32:45,BRASIL
223650,N,N/A,2020-10-23 20:42:09,N/A
82112,N,SÃO PAULO,2016-04-07 09:34:57,BRASIL
173386,M,RIO DE JANEIRO,2019-08-07 15:53:03,BRASIL
109489,N,N/A,2017-06-08 20:38:50,N/A
26109,N,SÃO PAULO,2011-09-14 13:13:18,BRASIL
150884,F,SÃO PAULO,2018-11-09 06:22:02,BRASIL
103836,N,N/A,2017-03-21 23:06:32,N/A
23005,N,PARANÁ,2011-03-31 11:23:42,BRASIL
104131,N,BAHIA,2017-03-26 21:17:09,BRASIL
16269,N,RIO GRANDE DO SUL,2009-11-19 19:23:15,BRASIL
72368,N,N/A,2015-10-14 12:55:49,N/A
7238,N,GOIÁS,2007-03-18 12:40:22,BRASIL
100983,N,N/A,2017-02-01 23:08:03,N/A
170129,N,N/A,2019-07-04 14:06:33,N/A
247322,M,MINAS GERAIS,2021-06-25 15:20:35,BRASIL
8811,N,PARANÁ,2007-09-30 12:23:51,BRASIL
60024,N,MINAS GERAIS,2015-01-16 07:01:52,BRASIL
127845,N,TOCANTINS,2018-01-21 15:29:33,BRASIL
31725,N,PARANÁ,2012-06-06 20:21:12,BRASIL
90543,N,N/A,2016-08-18 12:46:54,N/A
246807,N,N/A,2021-06-20 12:40:16,N/A
230184,F,N/A,2020-12-31 15:36:40,N/A
142031,N,N/A,2018-07-21 03:21:10,N/A
145280,M,SÃO PAULO,2018-08-29 19:17:27,BRASIL
37020,N,SÃO PAULO,2013-01-03 13:20:20,BRASIL
54524,N,PARAÍBA,2014-09-04 12:04:58,BRASIL
90365,N,N/A,2016-08-15 18:43:30,N/A
127336,N,PARANÁ,2018-01-16 05:47:59,BRASIL
72217,N,SÃO PAULO,2015-10-11 11:59:48,BRASIL
75215,N,AMAZONAS,2015-12-07 14:54:23,BRASIL
98239,N,BAHIA,2016-12-16 21:47:50,BRASIL
416,N,SÃO PAULO,2001-09-13 00:00:00,BRASIL
170549,N,N/A,2019-07-08 19:59:06,N/A
45555,N,SÃO PAULO,2013-11-20 11:45:40,BRASIL
101260,N,N/A,2017-02-06 23:04:24,N/A
142132,M,SÃO PAULO,2018-07-22 16:42:33,BRASIL
7906,N,DISTRITO FEDERAL,2007-06-12 08:23:14,BRASIL
237365,N,N/A,2021-03-16 19:32:23,N/A
112556,N,RIO DE JANEIRO,2017-07-18 20:25:41,BRASIL
31200,N,RIO DE JANEIRO,2012-05-13 11:47:35,BRASIL
170958,N,N/A,2019-07-12 15:05:28,N/A
218411,M,PARANÁ,2020-09-02 09:33:38,BRASIL
126325,N,SÃO PAULO,2018-01-05 09:26:10,BRASIL
133206,N,PARÁ,2018-03-26 23:00:00,BRASIL
201236,N,N/A,2020-05-23 13:33:13,N/A
252401,N,SÃO PAULO,2021-08-23 12:18:52,BRASIL
247475,N,N/A,2021-06-27 16:48:53,N/A
66569,N,RIO GRANDE DO SUL,2015-06-16 20:11:14,BRASIL
173756,M,N/A,2019-08-11 10:49:47,N/A
108988,N,N/A,2017-06-02 14:23:37,N/A
8605,N,SÃO PAULO,2007-09-06 14:32:55,BRASIL
72674,N,RIO DE JANEIRO,2015-10-20 13:44:24,BRASIL
173895,N,RIO DE JANEIRO,2019-08-12 22:58:58,BRASIL
159407,N,SÃO PAULO,2019-02-24 10:47:39,BRASIL
101086,N,N/A,2017-02-03 15:54:07,N/A
242,M,PARÁ,2000-11-23 00:00:00,BRASIL
252757,N,N/A,2021-08-27 15:07:29,N/A
160434,N,N/A,2019-03-09 20:09:25,N/A
119459,N,SANTA CATARINA,2017-10-14 11:37:14,BRASIL
160283,N,DISTRITO FEDERAL,2019-03-08 00:14:27,BRASIL
229772,N,SERGIPE,2020-12-26 12:41:51,BRASIL
127543,N,N/A,2018-01-18 05:22:14,N/A
229598,N,N/A,2020-12-23 16:19:27,N/A
165754,M,N/A,2019-05-14 21:37:04,N/A
103630,N,N/A,2017-03-18 22:18:55,N/A
103527,N,SÃO PAULO,2017-03-17 08:07:48,BRASIL
109283,N,SÃO PAULO,2017-06-06 13:25:30,BRASIL
200352,M,N/A,2020-05-17 22:37:33,N/A
208932,N,N/A,2020-07-05 15:06:26,N/A
119292,N,SÃO PAULO,2017-10-11 21:08:08,BRASIL
255018,F,N/A,2021-09-25 11:17:03,N/A
145019,M,RIO DE JANEIRO,2018-08-26 12:05:13,BRASIL
226829,N,RIO DE JANEIRO,2020-11-25 21:54:16,BRASIL
117854,N,RIO GRANDE DO SUL,2017-09-23 22:06:06,BRASIL
18034,N,RIO DE JANEIRO,2010-04-22 11:49:58,BRASIL
31483,N,RIO DE JANEIRO,2012-05-26 22:27:35,BRASIL
245733,N,N/A,2021-06-08 15:26:52,N/A
100915,N,BAHIA,2017-02-01 03:46:19,BRASIL
97782,N,N/A,2016-12-09 20:14:41,N/A
36977,N,SÃO PAULO,2013-01-01 16:24:43,BRASIL
60270,N,SÃO PAULO,2015-01-22 22:06:16,BRASIL
160525,N,N/A,2019-03-10 23:15:28,N/A
23357,N,SÃO PAULO,2011-04-25 01:56:30,BRASIL
224235,N,N/A,2020-10-30 11:04:25,N/A
23238,N,PERNAMBUCO,2011-04-16 09:34:43,BRASIL
196567,N,N/A,2020-04-13 19:47:11,N/A
119018,N,SÃO PAULO,2017-10-08 13:01:24,BRASIL
151956,N,MINAS GERAIS,2018-11-22 19:21:18,BRASIL
152368,N,N/A,2018-11-27 04:38:02,N/A
227167,N,RIO DE JANEIRO,2020-11-28 17:33:41,BRASIL
255896,N,MINAS GERAIS,2021-10-05 21:47:15,BRASIL
152267,M,SÃO PAULO,2018-11-25 21:19:38,BRASIL
66788,N,SÃO PAULO,2015-06-21 17:13:29,BRASIL
112147,M,RIO DE JANEIRO,2017-07-13 13:41:35,BRASIL
44967,N,RIO GRANDE DO SUL,2013-10-30 15:00:14,BRASIL
66847,N,MINAS GERAIS,2015-06-22 18:24:07,BRASIL
244755,N,N/A,2021-05-28 16:13:41,N/A
187879,N,SÃO PAULO,2020-01-07 07:32:52,BRASIL
22832,N,AMAZONAS,2011-03-20 17:18:28,BRASIL
67346,N,N/A,2015-07-03 18:16:39,N/A
219083,N,MINAS GERAIS,2020-09-09 10:22:23,BRASIL
111799,N,SÃO PAULO,2017-07-09 13:08:51,BRASIL
16027,N,MINAS GERAIS,2009-10-30 07:57:55,BRASIL
188088,N,SÃO PAULO,2020-01-09 07:08:00,BRASIL
75389,N,N/A,2015-12-10 08:05:33,N/A
215072,N,N/A,2020-08-04 12:24:35,N/A
136706,M,RIO DE JANEIRO,2018-05-10 11:14:11,BRASIL
230039,N,SÃO PAULO,2020-12-29 16:54:36,BRASIL
223412,N,N/A,2020-10-21 12:36:54,N/A
260385,N,N/A,2021-11-24 21:39:22,N/A
101217,N,N/A,2017-02-06 10:25:44,N/A
44458,N,CEARÁ,2013-10-11 02:57:12,BRASIL
54456,N,N/A,2014-09-02 14:41:21,N/A
215935,N,N/A,2020-08-11 07:35:53,N/A
141693,N,RIO DE JANEIRO,2018-07-17 00:37:14,BRASIL
22731,N,MINAS GERAIS,2011-03-14 20:39:04,BRASIL
100716,N,N/A,2017-01-29 09:37:41,N/A
199913,N,AMAZONAS,2020-05-13 22:16:53,BRASIL
103982,N,PIAUÍ,2017-03-23 22:11:33,BRASIL
255793,N,N/A,2021-10-04 16:44:58,N/A
180748,F,N/A,2019-10-26 19:23:19,N/A
247390,N,N/A,2021-06-26 14:56:02,N/A
8029,N,RIO GRANDE DO SUL,2007-06-30 19:55:20,BRASIL
200975,N,N/A,2020-05-22 08:14:23,N/A
223567,N,N/A,2020-10-22 22:29:53,N/A
30989,N,SÃO PAULO,2012-05-03 22:48:39,BRASIL
36659,N,N/A,2012-12-16 19:21:12,N/A
37767,N,RIO DE JANEIRO,2013-02-03 00:49:06,BRASIL
63009,N,PARANÁ,2015-03-29 17:28:20,BRASIL
245057,N,N/A,2021-06-01 11:57:25,N/A
26397,N,RORAIMA,2011-09-27 13:25:20,BRASIL
80795,N,SÃO PAULO,2016-03-15 22:27:28,BRASIL
187726,N,N/A,2020-01-05 14:12:59,N/A
178764,N,N/A,2019-10-03 21:53:10,N/A
215177,N,N/A,2020-08-05 07:41:56,N/A
8226,N,SÃO PAULO,2007-07-23 20:18:09,BRASIL
63347,N,MINAS GERAIS,2015-04-07 08:23:26,BRASIL
62508,N,MARANHÃO,2015-03-17 19:33:30,BRASIL
255086,N,RIO DE JANEIRO,2021-09-26 10:44:40,BRASIL
127777,M,PARAÍBA,2018-01-20 19:24:56,BRASIL
226642,N,N/A,2020-11-24 14:42:36,N/A
118522,N,N/A,2017-10-02 13:21:18,N/A
237916,N,N/A,2021-03-22 09:08:04,N/A
150642,M,N/A,2018-11-06 15:08:20,N/A
238250,N,PERNAMBUCO,2021-03-25 09:11:12,BRASIL
188871,M,N/A,2020-01-17 00:23:09,N/A
159156,M,N/A,2019-02-20 14:32:47,N/A
170108,N,N/A,2019-07-04 10:40:21,N/A
18313,N,SÃO PAULO,2010-05-12 13:50:20,BRASIL
82052,N,RIO DE JANEIRO,2016-04-06 15:09:09,BRASIL
150816,M,MINAS GERAIS,2018-11-08 11:58:53,BRASIL
173994,N,N/A,2019-08-14 00:07:11,N/A
159298,N,N/A,2019-02-22 14:19:56,N/A
484,M,SERGIPE,2001-12-16 00:00:00,BRASIL
97961,N,N/A,2016-12-12 15:27:34,N/A
127706,M,MINAS GERAIS,2018-01-19 23:15:11,BRASIL
8560,N,RIO DE JANEIRO,2007-09-02 09:35:42,BRASIL
151663,N,N/A,2018-11-19 17:32:36,N/A
98299,N,N/A,2016-12-18 08:41:28,N/A
52051,N,RIO DE JANEIRO,2014-06-28 01:33:23,BRASIL
142297,F,N/A,2018-07-24 21:11:32,N/A
127603,N,N/A,2018-01-18 18:38:53,N/A
247208,M,MATO GROSSO,2021-06-24 12:06:48,BRASIL
8838,N,SANTA CATARINA,2007-10-03 12:19:59,BRASIL
170197,N,SÃO PAULO,2019-07-04 23:27:16,BRASIL
229729,M,N/A,2020-12-25 16:43:30,N/A
170787,F,N/A,2019-07-10 22:49:33,N/A
223261,N,N/A,2020-10-20 08:02:56,N/A
208779,N,N/A,2020-07-05 08:13:20,N/A
189283,M,RIO DE JANEIRO,2020-01-21 11:59:55,BRASIL
200123,N,MATO GROSSO DO SUL,2020-05-15 19:05:54,BRASIL
112314,N,N/A,2017-07-16 02:48:42,N/A
236679,N,N/A,2021-03-10 12:17:19,N/A
118355,N,N/A,2017-09-30 10:09:36,N/A
247034,N,N/A,2021-06-22 14:11:31,N/A
82390,N,SÃO PAULO,2016-04-11 19:44:40,BRASIL
72614,N,MARANHÃO,2015-10-19 11:46:59,BRASIL
245224,N,N/A,2021-06-02 22:00:13,N/A
119224,N,N/A,2017-10-10 20:24:13,N/A
18139,N,N/A,2010-04-30 13:52:22,N/A
229832,N,N/A,2020-12-26 23:11:59,N/A
54762,N,SÃO PAULO,2014-09-10 17:58:43,BRASIL
59964,N,SÃO PAULO,2015-01-14 21:02:52,BRASIL
63112,N,SÃO PAULO,2015-03-31 21:17:33,BRASIL
119374,N,PARANÁ,2017-10-13 07:16:12,BRASIL
260997,N,N/A,2021-11-30 13:27:46,N/A
195720,N,N/A,2020-04-04 17:30:36,N/A
173326,M,N/A,2019-08-06 21:16:42,N/A
35948,N,CEARÁ,2012-11-19 12:28:22,BRASIL
246867,N,N/A,2021-06-20 23:40:00,N/A
133440,N,RORAIMA,2018-03-29 20:12:11,BRASIL
126780,M,N/A,2018-01-10 09:04:32,N/A
126154,N,PARÁ,2018-01-03 14:44:59,BRASIL
200479,N,N/A,2020-05-18 20:28:23,N/A
260823,N,SÃO PAULO,2021-11-28 18:27:05,BRASIL
1360,M,RIO DE JANEIRO,2003-09-14 08:59:39,BRASIL
172983,N,SÃO PAULO,2019-08-03 10:53:57,BRASIL
74336,N,SÃO PAULO,2015-11-23 07:42:17,BRASIL
60961,N,N/A,2015-02-08 19:01:24,N/A
83298,N,N/A,2016-04-26 11:30:19,N/A
61898,N,GOIÁS,2015-03-04 09:19:56,BRASIL
135711,M,N/A,2018-04-27 22:09:36,N/A
142491,M,RIO DE JANEIRO,2018-07-27 07:41:45,BRASIL
181582,F,RIO GRANDE DO SUL,2019-11-04 18:49:10,BRASIL
244394,N,N/A,2021-05-25 12:15:28,N/A
142998,M,N/A,2018-08-02 12:06:04,N/A
1551,M,SÃO PAULO,2004-01-21 17:40:19,BRASIL
110568,N,N/A,2017-06-23 18:05:20,N/A
224425,N,N/A,2020-11-01 21:05:06,N/A
14809,N,PARANÁ,2009-07-23 21:20:06,BRASIL
236094,N,N/A,2021-03-04 14:05:18,N/A
81291,N,SÃO PAULO,2016-03-24 12:48:38,BRASIL
46506,N,SÃO PAULO,2013-12-22 12:48:52,BRASIL
254344,N,N/A,2021-09-17 05:40:16,N/A
217645,N,N/A,2020-08-25 11:55:44,N/A
224763,N,N/A,2020-11-05 06:39:51,N/A
134159,N,N/A,2018-04-08 15:54:29,N/A
74134,N,N/A,2015-11-18 21:13:49,N/A
14704,N,MINAS GERAIS,2009-07-16 20:00:48,BRASIL
24457,N,N/A,2011-06-27 14:06:39,N/A
117685,N,N/A,2017-09-21 17:22:26,N/A
109598,N,N/A,2017-06-10 13:23:58,N/A
226114,F,N/A,2020-11-19 17:34:25,N/A
164465,M,MINAS GERAIS,2019-04-28 21:22:09,BRASIL
164746,N,MINAS GERAIS,2019-05-02 12:10:43,BRASIL
52764,N,PERNAMBUCO,2014-07-19 19:18:03,BRASIL
46837,N,SANTA CATARINA,2014-01-07 19:34:35,BRASIL
65785,N,ALAGOAS,2015-05-31 13:45:13,BRASIL
117176,N,GOIÁS,2017-09-14 21:21:58,BRASIL
158454,N,SERGIPE,2019-02-11 11:51:45,BRASIL
161204,M,PARANÁ,2019-03-18 12:10:33,BRASIL
72991,N,SÃO PAULO,2015-10-26 23:15:59,BRASIL
253534,N,PARÁ,2021-09-06 19:58:16,BRASIL
230446,N,N/A,2021-01-04 13:18:16,N/A
163964,N,N/A,2019-04-22 13:01:31,N/A
144345,F,SÃO PAULO,2018-08-17 17:56:37,BRASIL
190334,F,N/A,2020-02-01 18:35:38,N/A
143300,F,SERGIPE,2018-08-05 21:43:51,BRASIL
128711,M,N/A,2018-01-31 15:22:21,N/A
254241,F,N/A,2021-09-15 20:22:16,N/A
81113,N,N/A,2016-03-21 13:49:24,N/A
17007,N,PARANÁ,2010-01-24 12:36:26,BRASIL
24822,N,SERGIPE,2011-07-14 20:37:55,BRASIL
119902,N,N/A,2017-10-19 18:09:06,N/A
143407,M,N/A,2018-08-06 21:47:47,N/A
25170,N,PIAUÍ,2011-08-01 10:02:46,BRASIL
91300,N,N/A,2016-08-30 09:00:17,N/A
88109,N,SÃO PAULO,2016-07-11 09:55:52,BRASIL
199078,N,N/A,2020-05-06 21:02:25,N/A
81711,N,RIO DE JANEIRO,2016-03-31 16:28:49,BRASIL
217120,N,N/A,2020-08-20 14:22:25,N/A
91817,N,SÃO PAULO,2016-09-06 11:35:08,BRASIL
120229,N,N/A,2017-10-23 22:37:24,N/A
187383,F,SÃO PAULO,2020-01-01 13:04:29,BRASIL
74546,N,MINAS GERAIS,2015-11-26 11:05:12,BRASIL
239287,M,VIRGINIA,2021-04-04 17:50:08,OTRO
161552,M,N/A,2019-03-22 14:58:37,N/A
38707,N,N/A,2013-03-14 19:44:23,N/A
149702,N,N/A,2018-10-24 20:36:39,N/A
181735,F,MINAS GERAIS,2019-11-06 12:26:42,BRASIL
143494,M,N/A,2018-08-07 20:19:31,N/A
116803,M,SÃO PAULO,2017-09-10 13:33:02,BRASIL
125729,N,N/A,2017-12-28 15:53:25,N/A
81620,N,DISTRITO FEDERAL,2016-03-30 08:59:21,BRASIL
230535,N,N/A,2021-01-05 13:08:07,N/A
125658,N,N/A,2017-12-27 19:02:35,N/A
199417,N,N/A,2020-05-09 14:22:11,N/A
117479,M,N/A,2017-09-19 00:06:54,N/A
83604,N,N/A,2016-04-30 17:50:42,N/A
202678,N,N/A,2020-05-30 14:12:20,N/A
172474,M,N/A,2019-07-29 08:36:44,N/A
1195,N,SÃO PAULO,2003-06-03 00:00:00,BRASIL
25339,M,RIO GRANDE DO SUL,2011-08-08 20:55:48,BRASIL
216431,N,N/A,2020-08-14 21:26:00,N/A
195224,N,N/A,2020-03-30 09:17:55,N/A
134992,M,SÃO PAULO,2018-04-18 21:23:40,BRASIL
120577,N,AMAZONAS,2017-10-28 16:05:32,BRASIL
16482,N,RIO DE JANEIRO,2009-12-07 08:43:57,BRASIL
238778,N,SÃO PAULO,2021-03-30 14:41:28,BRASIL
81533,N,N/A,2016-03-28 17:49:11,N/A
9668,N,ESPÍRITO SANTO,2008-01-15 23:56:59,BRASIL
239589,N,N/A,2021-04-07 15:20:48,N/A
15316,N,MINAS GERAIS,2009-09-03 12:20:09,BRASIL
102462,N,N/A,2017-02-28 13:37:49,N/A
53260,N,N/A,2014-08-01 13:20:58,N/A
128622,N,OREGON,2018-01-30 16:44:21,OTRO
186707,N,SÃO PAULO,2019-12-22 13:25:46,BRASIL
73924,N,N/A,2015-11-14 19:23:56,N/A
125054,N,N/A,2017-12-18 16:59:39,N/A
24352,N,SÃO PAULO,2011-06-21 20:47:29,BRASIL
53598,N,RIO DE JANEIRO,2014-08-10 11:02:08,BRASIL
101848,N,SÃO PAULO,2017-02-15 22:02:12,BRASIL
225808,N,SÃO PAULO,2020-11-16 16:57:34,BRASIL
6175,N,RIO GRANDE DO SUL,2006-10-15 20:13:09,BRASIL
111605,N,PERNAMBUCO,2017-07-06 18:07:50,BRASIL
65794,N,SANTA CATARINA,2015-05-31 16:25:35,BRASIL
81186,N,SÃO PAULO,2016-03-22 15:14:48,BRASIL
62407,N,N/A,2015-03-15 14:15:06,N/A
207556,N,N/A,2020-07-02 16:33:47,N/A
15229,N,SÃO PAULO,2009-08-26 19:17:40,BRASIL
235976,N,N/A,2021-03-03 10:41:13,N/A
231050,N,MARANHÃO,2021-01-11 08:39:25,BRASIL
