cust_id-1;CUS_SEX_ID;CUS_STATE;CUS_RU_SINCE_DT
181171;F;BR-RJ;2019-10-31 11:32:45
223650;N;;2020-10-23 20:42:09
82112;N;BR-SP;2016-04-07 09:34:57
173386;M;BR-RJ;2019-08-07 15:53:03
109489;N;;2017-06-08 20:38:50
26109;N;BR-SP;2011-09-14 13:13:18
150884;F;BR-SP;2018-11-09 06:22:02
103836;N;;2017-03-21 23:06:32
23005;N;BR-PR;2011-03-31 11:23:42
104131;N;BR-BA;2017-03-26 21:17:09
16269;N;BR-RS;2009-11-19 19:23:15
72368;N;;2015-10-14 12:55:49
7238;N;BR-GO;2007-03-18 12:40:22
100983;N;;2017-02-01 23:08:03
170129;N;;2019-07-04 14:06:33
247322;M;BR-MG;2021-06-25 15:20:35
8811;N;BR-PR;2007-09-30 12:23:51
60024;N;BR-MG;2015-01-16 07:01:52
127845;N;BR-TO;2018-01-21 15:29:33
31725;N;BR-PR;2012-06-06 20:21:12
90543;N;;2016-08-18 12:46:54
246807;N;;2021-06-20 12:40:16
230184;F;;2020-12-31 15:36:40
142031;N;;2018-07-21 03:21:10
145280;M;BR-SP;2018-08-29 19:17:27
37020;N;BR-SP;2013-01-03 13:20:20
54524;N;BR-PB;2014-09-04 12:04:58
90365;N;;2016-08-15 18:43:30
127336;N;BR-PR;2018-01-16 05:47:59
72217;N;BR-SP;2015-10-11 11:59:48
75215;N;BR-AM;2015-12-07 14:54:23
98239;N;BR-BA;2016-12-16 21:47:50
416;N;BR-SP;2001-09-13 00:00:00
170549;N;;2019-07-08 19:59:06
45555;N;BR-SP;2013-11-20 11:45:40
101260;N;;2017-02-06 23:04:24
142132;M;BR-SP;2018-07-22 16:42:33
7906;N;BR-DF;2007-06-12 08:23:14
237365;N;;2021-03-16 19:32:23
112556;N;BR-RJ;2017-07-18 20:25:41
31200;N;BR-RJ;2012-05-13 11:47:35
170958;N;;2019-07-12 15:05:28
218411;M;BR-PR;2020-09-02 09:33:38
126325;N;BR-SP;2018-01-05 09:26:10
133206;N;BR-PA;2018-03-26 23:00:00
201236;N;;2020-05-23 13:33:13
252401;N;BR-SP;2021-08-23 12:18:52
247475;N;;2021-06-27 16:48:53
66569;N;BR-RS;2015-06-16 20:11:14
173756;M;;2019-08-11 10:49:47
108988;N;;2017-06-02 14:23:37
8605;N;BR-SP;2007-09-06 14:32:55
72674;N;BR-RJ;2015-10-20 13:44:24
173895;N;BR-RJ;2019-08-12 22:58:58
159407;N;BR-SP;2019-02-24 10:47:39
101086;N;;2017-02-03 15:54:07
242;M;BR-PA;2000-11-23 00:00:00
252757;N;;2021-08-27 15:07:29
160434;N;;2019-03-09 20:09:25
119459;N;BR-SC;2017-10-14 11:37:14
160283;N;BR-DF;2019-03-08 00:14:27
229772;N;BR-SE;2020-12-26 12:41:51
127543;N;;2018-01-18 05:22:14
229598;N;;2020-12-23 16:19:27
165754;M;;2019-05-14 21:37:04
103630;N;;2017-03-18 22:18:55
103527;N;BR-SP;2017-03-17 08:07:48
109283;N;BR-SP;2017-06-06 13:25:30
200352;M;;2020-05-17 22:37:33
208932;N;;2020-07-05 15:06:26
119292;N;BR-SP;2017-10-11 21:08:08
255018;F;;2021-09-25 11:17:03
145019;M;BR-RJ;2018-08-26 12:05:13
226829;N;BR-RJ;2020-11-25 21:54:16
117854;N;BR-RS;2017-09-23 22:06:06
18034;N;BR-RJ;2010-04-22 11:49:58
31483;N;BR-RJ;2012-05-26 22:27:35
245733;N;;2021-06-08 15:26:52
100915;N;BR-BA;2017-02-01 03:46:19
97782;N;;2016-12-09 20:14:41
36977;N;BR-SP;2013-01-01 16:24:43
60270;N;BR-SP;2015-01-22 22:06:16
160525;N;;2019-03-10 23:15:28
23357;N;BR-SP;2011-04-25 01:56:30
224235;N;;2020-10-30 11:04:25
23238;N;BR-PE;2011-04-16 09:34:43
196567;N;;2020-04-13 19:47:11
119018;N;BR-SP;2017-10-08 13:01:24
151956;N;BR-MG;2018-11-22 19:21:18
152368;N;;2018-11-27 04:38:02
227167;N;BR-RJ;2020-11-28 17:33:41
255896;N;BR-MG;2021-10-05 21:47:15
152267;M;BR-SP;2018-11-25 21:19:38
66788;N;BR-SP;2015-06-21 17:13:29
112147;M;BR-RJ;2017-07-13 13:41:35
44967;N;BR-RS;2013-10-30 15:00:14
66847;N;BR-MG;2015-06-22 18:24:07
244755;N;;2021-05-28 16:13:41
187879;N;BR-SP;2020-01-07 07:32:52
22832;N;BR-AM;2011-03-20 17:18:28
67346;N;;2015-07-03 18:16:39
219083;N;BR-MG;2020-09-09 10:22:23
111799;N;BR-SP;2017-07-09 13:08:51
16027;N;BR-MG;2009-10-30 07:57:55
188088;N;BR-SP;2020-01-09 07:08:00
75389;N;;2015-12-10 08:05:33
215072;N;;2020-08-04 12:24:35
136706;M;BR-RJ;2018-05-10 11:14:11
230039;N;BR-SP;2020-12-29 16:54:36
223412;N;;2020-10-21 12:36:54
260385;N;;2021-11-24 21:39:22
101217;N;;2017-02-06 10:25:44
44458;N;BR-CE;2013-10-11 02:57:12
54456;N;;2014-09-02 14:41:21
215935;N;;2020-08-11 07:35:53
141693;N;BR-RJ;2018-07-17 00:37:14
22731;N;BR-MG;2011-03-14 20:39:04
100716;N;;2017-01-29 09:37:41
199913;N;BR-AM;2020-05-13 22:16:53
103982;N;BR-PI;2017-03-23 22:11:33
255793;N;;2021-10-04 16:44:58
180748;F;;2019-10-26 19:23:19
247390;N;;2021-06-26 14:56:02
8029;N;BR-RS;2007-06-30 19:55:20
200975;N;;2020-05-22 08:14:23
223567;N;;2020-10-22 22:29:53
30989;N;BR-SP;2012-05-03 22:48:39
36659;N;;2012-12-16 19:21:12
37767;N;BR-RJ;2013-02-03 00:49:06
63009;N;BR-PR;2015-03-29 17:28:20
245057;N;;2021-06-01 11:57:25
26397;N;BR-RR;2011-09-27 13:25:20
80795;N;BR-SP;2016-03-15 22:27:28
187726;N;;2020-01-05 14:12:59
178764;N;;2019-10-03 21:53:10
215177;N;;2020-08-05 07:41:56
8226;N;BR-SP;2007-07-23 20:18:09
63347;N;BR-MG;2015-04-07 08:23:26
62508;N;BR-MA;2015-03-17 19:33:30
255086;N;BR-RJ;2021-09-26 10:44:40
127777;M;BR-PB;2018-01-20 19:24:56
226642;N;;2020-11-24 14:42:36
118522;N;;2017-10-02 13:21:18
237916;N;;2021-03-22 09:08:04
150642;M;;2018-11-06 15:08:20
238250;N;BR-PE;2021-03-25 09:11:12
188871;M;;2020-01-17 00:23:09
159156;M;;2019-02-20 14:32:47
170108;N;;2019-07-04 10:40:21
18313;N;BR-SP;2010-05-12 13:50:20
82052;N;BR-RJ;2016-04-06 15:09:09
150816;M;BR-MG;2018-11-08 11:58:53
173994;N;;2019-08-14 00:07:11
159298;N;;2019-02-22 14:19:56
484;M;BR-SE;2001-12-16 00:00:00
97961;N;;2016-12-12 15:27:34
127706;M;BR-MG;2018-01-19 23:15:11
8560;N;BR-RJ;2007-09-02 09:35:42
151663;N;;2018-11-19 17:32:36
98299;N;;2016-12-18 08:41:28
52051;N;BR-RJ;2014-06-28 01:33:23
142297;F;;2018-07-24 21:11:32
127603;N;;2018-01-18 18:38:53
247208;M;BR-MT;2021-06-24 12:06:48
8838;N;BR-SC;2007-10-03 12:19:59
170197;N;BR-SP;2019-07-04 23:27:16
229729;M;;2020-12-25 16:43:30
170787;F;;2019-07-10 22:49:33
223261;N;;2020-10-20 08:02:56
208779;N;;2020-07-05 08:13:20
189283;M;BR-RJ;2020-01-21 11:59:55
200123;N;BR-MS;2020-05-15 19:05:54
112314;N;;2017-07-16 02:48:42
236679;N;;2021-03-10 12:17:19
118355;N;;2017-09-30 10:09:36
247034;N;;2021-06-22 14:11:31
82390;N;BR-SP;2016-04-11 19:44:40
72614;N;BR-MA;2015-10-19 11:46:59
245224;N;;2021-06-02 22:00:13
119224;N;;2017-10-10 20:24:13
18139;N;;2010-04-30 13:52:22
229832;N;;2020-12-26 23:11:59
54762;N;BR-SP;2014-09-10 17:58:43
59964;N;BR-SP;2015-01-14 21:02:52
63112;N;BR-SP;2015-03-31 21:17:33
119374;N;BR-PR;2017-10-13 07:16:12
260997;N;;2021-11-30 13:27:46
195720;N;;2020-04-04 17:30:36
173326;M;;2019-08-06 21:16:42
35948;N;BR-CE;2012-11-19 12:28:22
246867;N;;2021-06-20 23:40:00
133440;N;BR-RR;2018-03-29 20:12:11
126780;M;;2018-01-10 09:04:32
126154;N;BR-PA;2018-01-03 14:44:59
200479;N;;2020-05-18 20:28:23
260823;N;BR-SP;2021-11-28 18:27:05
1360;M;BR-RJ;2003-09-14 08:59:39
172983;N;BR-SP;2019-08-03 10:53:57
74336;N;BR-SP;2015-11-23 07:42:17
60961;N;;2015-02-08 19:01:24
83298;N;;2016-04-26 11:30:19
61898;N;BR-GO;2015-03-04 09:19:56
135711;M;;2018-04-27 22:09:36
142491;M;BR-RJ;2018-07-27 07:41:45
181582;F;BR-RS;2019-11-04 18:49:10
244394;N;;2021-05-25 12:15:28
142998;M;;2018-08-02 12:06:04
1551;M;BR-SP;2004-01-21 17:40:19
110568;N;;2017-06-23 18:05:20
224425;N;;2020-11-01 21:05:06
14809;N;BR-PR;2009-07-23 21:20:06
236094;N;;2021-03-04 14:05:18
81291;N;BR-SP;2016-03-24 12:48:38
46506;N;BR-SP;2013-12-22 12:48:52
254344;N;;2021-09-17 05:40:16
217645;N;;2020-08-25 11:55:44
224763;N;;2020-11-05 06:39:51
134159;N;;2018-04-08 15:54:29
74134;N;;2015-11-18 21:13:49
14704;N;BR-MG;2009-07-16 20:00:48
24457;N;;2011-06-27 14:06:39
117685;N;;2017-09-21 17:22:26
109598;N;;2017-06-10 13:23:58
226114;F;;2020-11-19 17:34:25
164465;M;BR-MG;2019-04-28 21:22:09
164746;N;BR-MG;2019-05-02 12:10:43
52764;N;BR-PE;2014-07-19 19:18:03
46837;N;BR-SC;2014-01-07 19:34:35
65785;N;BR-AL;2015-05-31 13:45:13
117176;N;BR-GO;2017-09-14 21:21:58
158454;N;BR-SE;2019-02-11 11:51:45
161204;M;BR-PR;2019-03-18 12:10:33
72991;N;BR-SP;2015-10-26 23:15:59
253534;N;BR-PA;2021-09-06 19:58:16
230446;N;;2021-01-04 13:18:16
163964;N;;2019-04-22 13:01:31
144345;F;BR-SP;2018-08-17 17:56:37
190334;F;;2020-02-01 18:35:38
143300;F;BR-SE;2018-08-05 21:43:51
128711;M;;2018-01-31 15:22:21
254241;F;;2021-09-15 20:22:16
81113;N;;2016-03-21 13:49:24
17007;N;BR-PR;2010-01-24 12:36:26
24822;N;BR-SE;2011-07-14 20:37:55
119902;N;;2017-10-19 18:09:06
143407;M;;2018-08-06 21:47:47
25170;N;BR-PI;2011-08-01 10:02:46
91300;N;;2016-08-30 09:00:17
88109;N;BR-SP;2016-07-11 09:55:52
199078;N;;2020-05-06 21:02:25
81711;N;BR-RJ;2016-03-31 16:28:49
217120;N;;2020-08-20 14:22:25
91817;N;BR-SP;2016-09-06 11:35:08
120229;N;;2017-10-23 22:37:24
187383;F;BR-SP;2020-01-01 13:04:29
74546;N;BR-MG;2015-11-26 11:05:12
239287;M;VIRGINIA;2021-04-04 17:50:08
161552;M;;2019-03-22 14:58:37
38707;N;;2013-03-14 19:44:23
149702;N;;2018-10-24 20:36:39
181735;F;BR-MG;2019-11-06 12:26:42
143494;M;;2018-08-07 20:19:31
116803;M;BR-SP;2017-09-10 13:33:02
125729;N;;2017-12-28 15:53:25
81620;N;BR-DF;2016-03-30 08:59:21
230535;N;;2021-01-05 13:08:07
125658;N;;2017-12-27 19:02:35
199417;N;;2020-05-09 14:22:11
117479;M;;2017-09-19 00:06:54
83604;N;;2016-04-30 17:50:42
202678;N;;2020-05-30 14:12:20
172474;M;;2019-07-29 08:36:44
1195;N;BR-SP;2003-06-03 00:00:00
25339;M;BR-RS;2011-08-08 20:55:48
216431;N;;2020-08-14 21:26:00
195224;N;;2020-03-30 09:17:55
134992;M;BR-SP;2018-04-18 21:23:40
120577;N;BR-AM;2017-10-28 16:05:32
16482;N;BR-RJ;2009-12-07 08:43:57
238778;N;BR-SP;2021-03-30 14:41:28
81533;N;;2016-03-28 17:49:11
9668;N;BR-ES;2008-01-15 23:56:59
239589;N;;2021-04-07 15:20:48
15316;N;BR-MG;2009-09-03 12:20:09
102462;N;;2017-02-28 13:37:49
53260;N;;2014-08-01 13:20:58
128622;N;OREGON;2018-01-30 16:44:21
186707;N;BR-SP;2019-12-22 13:25:46
73924;N;;2015-11-14 19:23:56
125054;N;;2017-12-18 16:59:39
24352;N;BR-SP;2011-06-21 20:47:29
53598;N;BR-RJ;2014-08-10 11:02:08
101848;N;BR-SP;2017-02-15 22:02:12
225808;N;BR-SP;2020-11-16 16:57:34
6175;N;BR-RS;2006-10-15 20:13:09
111605;N;BR-PE;2017-07-06 18:07:50
65794;N;BR-SC;2015-05-31 16:25:35
81186;N;BR-SP;2016-03-22 15:14:48
62407;N;;2015-03-15 14:15:06
207556;N;;2020-07-02 16:33:47
15229;N;BR-SP;2009-08-26 19:17:40
235976;N;;2021-03-03 10:41:13
231050;N;BR-MA;2021-01-11 08:39:25
246197;N;;2021-06-13 20:23:29
9279;N;BR-SC;2007-11-22 16:11:00
186369;M;;2019-12-18 07:30:27
66292;N;BR-SP;2015-06-11 07:26:34
43795;N;BR-SP;2013-09-17 18:28:21
96441;N;BR-SP;2016-11-20 21:18:01
47015;N;BR-MG;2014-01-13 11:01:54
46862;N;BR-RO;2014-01-08 14:31:53
16587;N;BR-SP;2009-12-14 22:28:27
1026;N;BR-SP;2003-03-01 21:24:00
14475;N;BR-PR;2009-06-29 10:27:37
66470;N;BR-SC;2015-06-15 10:16:40
253861;N;;2021-09-10 20:22:09
36795;N;;2012-12-22 15:54:09
245613;N;;2021-06-07 13:22:09
8696;N;BR-SP;2007-09-14 14:29:53
72405;N;;2015-10-15 07:28:21
26517;N;BR-SP;2011-10-03 10:38:51
75178;N;BR-SP;2015-12-06 20:06:01
247597;N;;2021-06-28 22:26:33
133274;M;;2018-03-27 18:36:32
173268;N;;2019-08-06 13:05:53
90161;N;;2016-08-11 16:39:08
236893;N;;2021-03-12 00:27:49
229563;N;VIRGINIA;2020-12-23 08:04:33
150778;F;;2018-11-07 21:30:03
173785;N;;2019-08-11 18:48:33
75011;N;BR-SC;2015-12-03 16:15:00
80311;N;BR-MT;2016-03-08 09:16:24
62628;N;BR-PR;2015-03-20 14:47:20
178797;N;BR-CE;2019-10-04 10:47:55
215041;N;;2020-08-04 09:10:21
127744;N;;2018-01-20 12:47:39
90087;N;BR-SP;2016-08-10 14:43:02
226440;N;BR-SC;2020-11-22 20:29:52
195753;M;BR-SP;2020-04-05 08:00:14
173680;N;;2019-08-10 12:39:33
141994;M;BR-SP;2018-07-20 13:56:08
141479;N;;2018-07-14 15:16:41
119700;N;BR-MA;2017-10-17 11:26:20
247003;N;;2021-06-22 09:09:51
159331;N;BR-SP;2019-02-22 23:13:15
150785;N;BR-AM;2018-11-08 00:11:41
137073;M;BR-RJ;2018-05-15 07:45:39
159962;F;BR-MG;2019-03-03 16:07:16
62976;N;;2015-03-28 20:49:42
66878;N;BR-ES;2015-06-23 09:08:45
226337;N;BR-CE;2020-11-21 18:36:22
103929;F;BR-SC;2017-03-23 10:57:32
189113;N;;2020-01-19 17:36:35
215717;N;BR-SP;2020-08-09 10:01:59
199987;N;;2020-05-14 17:48:26
54845;N;;2014-09-12 10:59:55
252825;N;;2021-08-28 13:49:36
101051;N;BR-SC;2017-02-03 06:03:09
97413;N;BR-SP;2016-12-04 08:05:30
137176;F;;2018-05-16 11:49:21
159640;N;;2019-02-27 09:42:35
17829;N;BR-RJ;2010-04-06 15:55:50
103426;N;BR-SC;2017-03-15 13:22:11
90684;N;BR-RJ;2016-08-20 19:17:03
255206;N;;2021-09-27 19:34:58
118491;N;;2017-10-01 23:38:47
209484;N;BR-SP;2020-07-06 20:37:01
188751;N;BR-CE;2020-01-15 18:27:29
255412;N;;2021-09-30 05:54:48
127739;M;;2018-01-20 11:39:51
173858;N;BR-CE;2019-08-12 14:25:24
170406;N;BR-BA;2019-07-07 12:47:32
218599;N;;2020-09-03 21:16:45
150611;F;;2018-11-06 09:25:51
109524;N;;2017-06-09 11:38:35
252015;N;;2021-08-18 13:06:11
127570;N;BR-AC;2018-01-18 12:23:02
75356;N;;2015-12-09 15:01:58
17502;N;BR-RJ;2010-03-10 10:42:10
80449;N;BR-BA;2016-03-10 12:25:12
245398;N;;2021-06-04 20:30:43
160645;M;;2019-03-12 09:02:47
63314;N;BR-PB;2015-04-06 13:21:50
229919;N;BR-DF;2020-12-28 10:23:30
63145;N;BR-RJ;2015-04-01 18:21:04
98163;N;;2016-12-15 14:15:34
158830;M;BR-MG;2019-02-16 09:53:07
60084;M;BR-PE;2015-01-18 14:06:20
238219;N;;2021-03-24 20:24:22
165307;N;;2019-05-09 14:34:58
51332;N;BR-SP;2014-06-05 12:11:47
15891;N;BR-DF;2009-10-19 15:54:21
145079;N;BR-MA;2018-08-27 10:24:55
227287;N;;2020-11-30 07:57:33
72583;N;BR-RS;2015-10-18 21:39:06
247177;N;BR-SP;2021-06-24 03:33:50
247423;N;BR-SP;2021-06-26 21:36:49
126018;N;;2018-01-02 10:34:21
230221;M;;2021-01-01 15:44:33
180256;N;BR-MS;2019-10-21 09:00:57
90570;N;BR-BA;2016-08-18 18:49:19
7726;N;BR-RJ;2007-05-21 08:22:23
45769;N;BR-GO;2013-11-27 17:22:51
237227;N;;2021-03-15 13:30:35
218641;N;;2020-09-04 12:08:34
144570;N;BR-SC;2018-08-20 14:40:33
17655;M;BR-RJ;2010-03-22 14:40:27
226675;N;BR-PE;2020-11-24 19:39:59
224202;N;BR-SP;2020-10-29 22:46:32
151308;F;;2018-11-14 14:15:46
15692;N;BR-SP;2009-10-04 16:18:58
188057;N;BR-PA;2020-01-08 18:11:04
260347;N;;2021-11-24 17:43:34
188363;F;;2020-01-11 16:55:42
160033;N;;2019-03-04 18:05:15
37113;N;BR-PR;2013-01-07 18:59:15
15390;N;BR-SP;2009-09-08 20:50:41
36127;N;BR-SP;2012-11-25 15:16:59
255554;N;;2021-10-01 15:59:45
18177;N;BR-SP;2010-05-03 20:17:45
199880;N;BR-SP;2020-05-13 17:53:19
237702;N;;2021-03-19 18:52:00
82771;N;;2016-04-18 00:01:53
100882;N;;2017-01-31 18:18:41
209171;N;BR-GO;2020-07-06 09:14:50
89411;N;;2016-07-30 18:54:51
245088;N;BR-SC;2021-06-01 16:09:07
237615;N;BR-BA;2021-03-19 06:05:16
151;M;BR-SP;2000-06-07 00:00:00
201095;N;;2020-05-22 17:54:00
151461;N;;2018-11-16 18:10:09
45664;N;BR-RO;2013-11-23 08:46:18
37469;N;BR-PR;2013-01-22 16:30:41
200828;N;;2020-05-21 12:30:28
215902;N;;2020-08-10 20:05:09
178272;N;;2019-09-28 15:54:28
152131;N;;2018-11-24 08:02:35
208961;N;;2020-07-05 16:17:23
7321;N;BR-PA;2007-03-28 19:39:16
67291;N;BR-AM;2015-07-02 15:51:31
244769;N;;2021-05-28 19:11:39
80640;N;;2016-03-13 17:46:37
71778;N;BR-SP;2015-10-01 16:27:31
188376;M;;2020-01-11 18:35:02
151268;N;BR-SP;2018-11-14 03:38:26
200580;N;;2020-05-19 16:47:01
8683;N;BR-BA;2007-09-13 19:05:57
15373;N;BR-SP;2009-09-08 09:24:57
103964;N;BR-PI;2017-03-23 18:08:46
89424;N;BR-PR;2016-07-30 22:31:34
62647;N;BR-SC;2015-03-21 00:05:12
15711;N;BR-RS;2009-10-05 20:01:17
126734;N;BR-SE;2018-01-09 16:21:14
178291;N;BR-CE;2019-09-28 21:54:26
63464;N;BR-SP;2015-04-09 18:55:57
178465;N;;2019-09-30 19:34:06
72089;N;BR-MG;2015-10-08 10:34:13
109422;N;;2017-06-07 22:05:09
59562;N;BR-PE;2015-01-05 23:02:13
45;M;BR-MS;2000-02-08 00:00:00
238538;N;;2021-03-27 22:07:14
245381;N;;2021-06-04 16:55:12
31433;N;BR-SP;2012-05-24 11:54:45
36435;N;BR-SP;2012-12-07 22:21:37
89615;N;BR-RS;2016-08-02 20:55:27
209654;N;;2020-07-07 09:15:40
7216;N;BR-PE;2007-03-15 12:52:36
383;M;BR-DF;2001-08-11 00:00:00
247404;M;;2021-06-26 18:11:59
187939;F;;2020-01-07 15:34:42
188764;N;;2020-01-15 20:46:22
26324;N;BR-MG;2011-09-23 17:40:08
229377;N;;2020-12-21 11:13:33
224112;N;;2020-10-29 07:43:33
127763;N;BR-SP;2018-01-20 15:35:57
223778;N;;2020-10-25 16:04:46
36609;N;BR-SP;2012-12-14 15:20:01
